file ,text_A,text_B,Question_1,Question_2,Reason_no_question
Make_Juggling_Balls_from_Tennis_Balls.txt,Do not use a knife that will fold up as you try to puncture the rubber of the ball .,Do not use a folding knife when you try to puncture the rubber of the ball .,,,
Handle_Spiders.txt,"When spider comes on your hand , be gentle .","When the spider goes on your hand , be gentle .",,,
Divorce_in_Utah.txt,"For more information about the course see the Utah 
State Court 's website at http://www.utcourts.gov/specproj/dived/ .","For more information about the course see the Utah State Court 's 
webpage Divorce Education Course .",,,
Fix_Common_Computer_Network_Issues.txt,unable to renew your IP address ( quickly ),Unable to renew your IP address,,,
Use_Laptops.txt,How to Convince Your Parents to Buy You a Apple Macbook,Convince Your Parents to Buy You a Laptop,,,
Look_Good_In_Your_School_Uniform.txt,"Try brushing your lips with your tooth brush 
and then putting on chapstick to make your lips look soft and beautiful !","Try brushing your lips with your tooth brush ( make sure it 's clean ! ) 
and then putting on chapstick to make your lips look soft and beautiful !",,,
Become_a_Narnian_on_Club_Penguin.txt,How to Be a Real Pookie Model on Club Penguin,How to Be a Baby Model on Club Penguin,,,
Catch_a_Bullfrog.txt,"If you are using a rifle , you may need a hunting license .","If you are using a fishing net , you may need a fishing license .",,,
Choose_a_Red_Dress.txt,Or msybe you will not feel comfortable in your dress .,Or you might not feel comfortable in your dress .,,,
"Write,_Direct_and_Star_in_Your_Own_Horror_Movie.txt",cast yourself as the lead role,Cast yourself as the lead role .,,,
Make_Village_Style_Puliyogare.txt,Requirements : raw rice - 1 cuptamarind pulp - 1 big lemon sizepeanuts - half cupcurry leaves - fewsalt - as requiredchanna dal - 1 tspurad dal - 1 tspfenugreek seeds ( vendhayam ) - 4mustard seeds - 1 tspgingely oil - as requiredred chilli - 4 or 5garlic - minimum 5 pieces choppedturmeric powder - 1 tsp,"Requirements : raw rice - 1 cuptamarind pulp - 1 big lemon sizepeanuts - 
half cupcurry leaves - few salt - as requiredchanna dal - 1 tspurad dal - 
1 tspfenugreek - seeds ( vendhayam ) - 4mustard seeds - 1 tspgingely oil - 
as required red chilli - 4 or 5garlic - minimum 5 pieces chopped turmeric powder - 1 tsp",,,
Play_Softball_As_a_Freshman.txt,Try and have some friends on the team .,Try to have some friends on the team .,,,
Improve_Spinal_Flexibility_with_Yoga.txt,"Keep your arms straight out in front of you and reach forward , keeping all but your hands off the floor .","On an exhale , walk your arms straight out in front of you and reach forward ,
 keeping all but your hands off the floor .",,,
Cook_Ramen_with_Egg_and_Rice_Cake.txt,Step 6 : Put the ramen noodle in the pan .,Put the ramen noodles in the pan .,,,
Use_Tahini.txt,Add one large egg and ¾ teaspoon of vanilla .,Add one large egg and of vanilla .,,,
Change_Behavior.txt,Be patient and encourage them to stay on track .,Be patient and encourage the person to stay on track .,,,
Apply_Glitter_Eye_Makeup.txt,"Next , use the shadow brush to completely 
cover your brows .","Next , use the shadow brush to completely cover your brows 
with the glitter base .",,,
Study_a_Dressage_Test.txt,Try understand the movements .,Try to understand the movements .,,,
Choose_a_Halloween_Costume.txt,How to Make a Dark Faerie Costume for Halloween,How to Make a Crayola Crayon Costume for Halloween,,,
Prune_Kalanchoe.txt,Cut within a half inch ( 1.2 cm ) of a leaf node to shape the plant .,Cut within of a leaf node to shape the plant .,,,
Clean_Your_Room_Fast.txt,"( ex. hair supplies , makeup , etc. )","( ex. hair supplies , makeup , etc. ) invite your ex over to have sex 
in the bed and shake everything off",,,
Create_an_Animated_GIF_Image_with_GIMP.txt,Your new animated gif has been created !,gif has been created !,,,
Become_Mentally_Flexible.txt,"While in reality those successful people may be miserable , 
as it has been seen quite a few times .","While in reality those ' successful people ' may be miserable , 
as it has been seen quite a few times .",,,
Make_the_Ultimate_Gummi_Ship_in_Kingdom_Hearts_2.txt ,They shoot straight ahead .,The Orange Fire shoot straight ahead .,,,
Make_Applesauce_Chocolate_Chip_Cookies.txt,/ 2 cup of applesauce,/ 2 cup applesauce,,,
Plan_a_High_School_Homecoming_Dance.txt,"Themes for dances can be anything from Casino Night , to Under the Sea , to a Night in Athens .","Themes for dances can be anything from Ready 
Set Glow to Under the Sea to a Night in Athens .",,,
Handle_Having_Curly_Hair.txt,If possiable pick a Leave-In-Conditionor to keep your curls tight .,"If possible , pick a Leave-In-Conditionor to keep your curls tight .",,,
Make_Glass_Wind_Chimes.txt,"Get a circular small metal ring , preferably thin .","Tie the open ends of the threads to a circular metal ring , preferably thin .",,,
Book_a_Hotel_in_Sri_Lanka.txt,Contact the Hotel - Always contact the hotel directly and ask for the availability of special deals .,Always contact the hotel directly and ask for the availability of special deals .,,,
Make_a_Treasure_Hunt.txt,Do n't let a single child dictate all the answers and directions .,Do n't let a single person dictate all the answers and directions .,,,
Enjoy_a_Trip_to_Disneyland.txt,"Sometimes , check the Disneyland website for special holiday ticket deals and discounts .",Check the Disneyland website for special holiday ticket deals and discounts .,,,
Draw_Your_Own_RPG_on_Paper.txt,"In the sections put your stats , HP , SP , Lvl , and Exp .","In the sections put your stats , HP , SP , Lvl , Exp , and Gold .",,,
Train_a_PTSD_Service_Dog.txt,"Next , try to ask for the item , leaving it in the same place .","Next , try to ask for the item .",,,
Help_a_Recovering_Alcoholic.txt,Do not go behind their back to another source and tell them how you feel .,"Do not go behind their back to another source , tell them how you feel .",,,
Grow_Algae.txt,Sunlight is crucial to algae growth .,Sunlight is crucial to algae growth as it is to any green plant .,,,
Get_Girls.txt,"Some girls that you are trying to get will see 
start through this ploy and refuse your offer of a drink 
as they would prefer to go on a date than just be a girl a boy has "" got "" .","Some girls that you are trying to get will see straight through this 
ploy and refuse your offer of a drink as they would prefer to 
go on a date than just be a girl a boy has "" got "" .",,,
Absorb_Vitamin_D.txt,"Therefore , liver disease may result in vitamin D deficiency .","A damaged liver may be unable to perform these reactions and 
may result in vitamin D deficiency .",,,
Block_a_Stolen_Phone.txt,It 's near the bottom of the page .,It 's the blue button at the bottom of the page .,,,
Shave_Your_Dog.txt,Make sure your extremely careful during this step .,Make sure you 're extremely careful during this step .,,,
Organize_a_Neighborhood_Beauty_Pagaent.txt,So a long carpet from a craft store that does n't cost much .,"So , use a long carpet from a craft store that does n't cost much .",,,
Transfer_Data_Between_a_Cell_Phone_and_Computer.txt,Install the drivers necessary for your cell phone ; these should have come with the data link cable on a CD .,These drivers should come with the data link cable on a CD .,,,
Construct_a_Yu_Gi_Oh!_Deck.txt,Yu Gi Oh cards,Identify Fake Yu Gi Oh Cards,,,
Apply_Eye_Makeup_on_Fair_Skin.txt,How to Apply Eyeshadow Correctly,How to Apply Eyeshadow,,,
Make_Dessert_Pizza.txt,"If you make the homemade dough , 
it will take an additional hour .","If you make the homemade dough , it will take an additional 
hour and 15 minutes .",,,
Love_Your_Style.txt,"Sporty : Tracksuits , sweatclothes , headbands , baseball caps , sneakers , light or no make-up .","Sporty : Tracksuits , sweatsuits , headbands , baseball caps , sneakers ,
 light or no make-up .",,,
Study_the_Day_Before_a_Test.txt,Write down the lessons you need to know .,Write down the overarching concepts you need to know .,,,
Prevent_Gout.txt,"Everyone 's body is different , so some foods may have more noticeable affect on you than others .","Everyone 's body is different , so some foods may have a more noticeable 
effect on you than others .",,,
Use_the_Priest_in_Hearthstone.txt,Add cards that make your opponents weapon cost more .,Add cards that make your opponents spells cost more .,,,
Get_Married_in_North_Carolina.txt,Stay in contact with your vendors as you get closer to your wedding day .,Your days will get busier as you get closer to your wedding day .,,,
Start_and_Make_a_Lot_of_Chips_in_Zynga_Poker_at_Facebook.txt ,Start off in a low level get some money,"Start off in a low level , get some money , and work your way up .",,,
Make_Candied_Violets.txt,"Violet flowers , at least 20 in excellent condition with stems still attached , organic","Violet flowers , at least 20 in excellent condition with stems still attached , 
untreated with chemicals",,,
Research.txt,Beginning a research project or paper can be intimidating if you 've never conducted research before .,"Beginning a research project or paper can be intimidating 
if you 've never conducted any research before .",,,
Shop_the_Open_Air_Food_Markets_of_Paris.txt,"Generally speaking , the vendors are honest folk and will try to give you the best service they can .",The vendors are generally honest folk and will try to give you the best service they can .,,,
Install_and_Configure_Linux_Mint.txt,"There are literally thousands of themes to choose from and configure to your liking , just go to http://gnome-look.org/index.php?xcontentmode=103&PHPSESSID=fbfa8a416ee784117ac19fa99075380b and download some .","There are literally thousands of themes to choose from and configure to your
 liking , just go to gnome-look.org - > beryl and download some .",,,
Speak_English.txt,How to Study for English Language,Study for English udy for English Language,,,
Not_Embarrass_Yourself.txt,It is a far healthier approach to accept that mistakes are a part of life and to get on with things .,"It is a far healthier approach to accept mistakes as a part of life and 
to get on with things .",,,
Dress_Like_Severus_Snape_from_Harry_Potter.txt,"on the other hand , you could always wear a wig .",If you do n't want to do this you could always wear a wig .,,,
Recognize_a_Person_Who_Has_Emotional_Intelligence.txt,"In turn, the person who constantly talks about how great their 
significant other is with a coworker who is undergoing a divorce is likely not EI , as well .","Likewise , the person who constantly talks about
how great their significant other is with a coworker who is undergoing a divorce 
is likely not EI .",,,
Decide_if_You_Should_Get_Bangs_or_Not.txt,Take a photo of you with bangs and without and then compare both and show friends .,"Show them a photo of yourself with bangs and without and then ask them 
to compare .",,,
Breed_Red_Cherry_Shrimp.txt,"Red cherry shrimp , or RCS , are small shrimp .","Red cherry shrimp , or RCS , are in a group called "" dwarf shrimp "" .",,,
Foam_Milk.txt,Blend the milk on medium speed until it reaches your desired frothiness .,Blend the milk on medium speed .,,,
Make_Homemade_Cleaning_Spray.txt,[ [ Disinfect Toys | How to Disinfect Toys ] ],[ [ Disinfect Toys ] ],,,
Help_Stop_Pollution.txt,Turn off your lights when you leave a room .,Turn off the lights when you leave a room .,,,
Wear_Leggings.txt,Leggings are meant to be worn as part of a layered outfit .,"Leggings are believed by many to be meant to be worn as part 
of a layered outfit .",,,
Make_Homemade_Bath_Salts.txt,"If you do not own Epsom Salt , then use sea salt as this would work too .","If you do not own epsom salt , then use sea salt as a replacement .",,,
Get_Rid_of_a_Maggot_Infestation.txt,Make sure to hit every inch of the garbage can with boiling water in order to prevent any maggots from escaping .,Make sure to hit every inch of the garbage can with boiling water .,,,
Plan_an_Affordable_Beach_Wedding.txt,Choose your location wisely .,Choose your location .,,,
Accept_Your_Autism.txt,People can love you and your autism .,You can love yourself and your autism .,,,
Invest_in_Mutual_Funds.txt,This will require you to complete your own research and carefully monitor the performance and allocation of your mutual fund holdings .,"You must carefully monitor the performance and allocation 
of your mutual fund holdings yourself .",,,
Put_Together_a_Passover_Seder_With_Non_Jewish_Friends.txt,First-timers to a religious Seder can become quickly overwhelmed by all that is going on .,"Non-Jews attending Passover Seder can become quickly
 overwhelmed by all that 's going on .",,,
Give_Your_Children_a_Blast_from_the_Past_on_Holidays.txt,"For Christmas be sure to make a big punch bowl full of 
red fruit punch , add slices of oranges or even canned fruit to enhance the flavor 
and to give it a better appeal .","For Christmas , be sure to make a big punch bowl full of red fruit punch ; 
add slices of oranges or even canned fruit to enhance the flavor and to give
it a better appeal .",,,
Change_Your_Name_in_New_York.txt,"Pick up a name change petition and proposed order 
at your nearest courthouse or print out online
 at https://www.nycourts.gov/courts/nyc/civil/forms.shtml#namechange .","To fill out the name change petition by hand , pick up a hard copy of the name
 change petition and proposed order at your nearest courthouse or 
print out online at 
https://www.nycourts.gov/courts/nyc/civil/forms.shtml#namechange .",,,
Use_Power_Bricks_in_LEGO®_Star_Wars™:_The_Complete_Saga.txt,This brick will unlock the walkie talkie disable extra .,This brick will unlock the super lightsaber extra .,,,
"Connect_a_DVD_Player,_VCR,_and_Digital_Cable_Box.txt",Start by hooking up a 3 way splitter to the wall cable outlet .,Hook up a 3 way splitter to the wall cable outlet .,,,
Look_Hot_on_a_Date_(Guys).txt,Next pick out a nice outfit .,Pick out a nice outfit .,,,
Change_the_Oil_and_Oil_Filter_in_a_2005_Nissan_Xterra.txt,Remove the plug and pour the new oil into the hole .,"After removing the plug , pour the new oil into the hole .",,,
Stop_Loving_Someone_Who_Doesn't_Love_You.txt,"For more help , including how getting rid 
of mementos can help , read on .","You can also distract yourself by spending time with your friends or 
getting involved in something new ! 
For more help , including how getting rid of 
mementos can help , read on .",,,
Believe_Scriptures_Biblically_(Christianity).txt,"Do not assume you have the natural 
ability to find and know the truth 
simply by looking into yourself .","Avoid assuming that you have the natural ability to find 
and know the truth simply by looking into yourself .",,,
Kickstart_Your_Metabolism_Through_Diet.txt,Buffalo trimmed of excess fat,Lean pork trimmed of excess fat,,,
Tell_Your_Partner_About_Your_Sexual_Disorder.txt,"Men and women face different sexual problems 
which may specifically deal with their genitalia .","Men and women face different sexual problems which may 
specifically deal with their genitalia , 
or may have a mental or psychological disorder that affects the normal 
function of their sexual organs .",,,
Enjoy_Orlando_on_a_Budget.txt,"Keep a cooler in your vehicle filled with bottled water , snack bars , fruit etc ... 
This way when someone is hungry or thirsty you have something 
available and you wo n't have to spend high convienience store prices .","Keep a cooler in your vehicle filled with bottled water , snack bars , fruit etc. 
This way , when someone is hungry or thirsty , you have something 
available and you wo n't have to spend excessive amounts at convenience 
store prices .",,,
Dress_Well.txt,"People can usually be categorized into body shapes such as "" pear "" or "" hourglass "" , 
and each body type is best flattered by certain types of clothing .","People can usually be categorized into body shapes such and each body type is 
best flattered by certain types of clothing .",,,
Conduct_a_Secondary_Survey_of_an_Injured_Person.txt,"Palpate down the lengths of the arms and legs , 
all the way to the toes and fingers to feel for possible fractures .","Palpate down the lengths of the arms and legs as well , all the way to 
the toes and fingers to feel for possible fractures .",,,
Mousse_Hair_Properly.txt,"That 's OK ! In this method , you 'll 
use mousse to quickly and easily 
give your hair a more vibrant look .","Even if you 're not interested in a methodical styling session , you can 
still use mousse to quickly and easily give your hair a more vibrant look .",,,
Cultivate_a_Stylish_Wardrobe.txt,A good pair of jeans is a staple in every stylish woman 's wardrobe .,This is a staple in every stylish woman 's wardrobe .,,,
Play_the_Hendrix_Chord.txt,"Finally , put you pinky finger on the eigth fret on the B string .","Finally , put you pinkie finger on the eighth fret on the B string .",,,
Prepare_for_a_Cruise_(Teenager).txt,And add any questions you have .,You can also add any questions you have .,,,
Write_a_Television_Show_Script.txt,"The possibilities are endless and 
sometimes breaking out of your routine 
can really add a whole new 
dimension in your relationship .","Sometimes , breaking out of your routine can really 
add a whole new dimension in your relationship .",,,
Play_Video_Poker.txt,"If not , choose combinations that are simple : 
a pair , two pairs , or three of a kind .","Unless you have a high winning combination , choose combinations that 
are simple : a pair , two pairs , or three of a kind .",,,
Use_Video_Games_to_Improve_Your_Brain_Power.txt	," "" Play Portal .",Play Portal .,,,
Diagnose_a_Cat_Cough.txt,"A dense tissue like bone blocks x-rays ( producing white on the image ) , 
while air does not block x-rays at all and the plate is black .","A dense tissue like bone blocks x-rays ( producing white on the image ) , 
while air does not block x-rays at all , so the plate will be black .",,,
Get_Your_Mother_in_Law_to_Move_out_of_Your_House.txt,"If she is always hot , keep the house hot .","If she is always cold , keep the house cold .",,,
Uninstall_Programs_on_Mac_Computers.txt,"Hi ! Have you ever downloaded something 
you did n't really want ?",Have you ever downloaded something you did n't really want ?,,,
Install_Windows_XP.txt,"Most of the time , BIOS is set to read Floppy , 
HDD , and THEN CD-ROM .","On older systems , the BIOS is set to read Floppy , HDD , and THEN CD-ROM .",,,
Lock_Screen_Orientation_on_Android.txt,"When this box is checked , automatic screen rotation will be enabled on your Android . _ _ SUMMARIZED _ _",,,,
Knit_a_Baby_Hat_with_Ear_Flaps.txt,"Experiment with colors-you
 might like it if the flaps are 
different to the main part !","When this box is checked , automatic screen rotation will 
be enabled on your Android .
",,,
Download_Shows_from_Netflix.txt        ,"Click on "" Stop "" in Movavi when the 
Netflix video has ended .","Click on "" Stop "" in when the video has ended .",,,
Polish_a_Concrete_Countertop.txt,"When you 're done with the 50 grit pad , switch to a 100 grit pad .","When you 're done with the 400-grit pad , switch 
to an 800-grit pad .",,,
Organize_Your_Backpack.txt,"That way , you wo n't need to open your 
backpack when you get to your next class .","That way , you wo n't need to open your condomwhen 
you get to your next pussy .",,,
 Write_an_Engaging_Story.txt,"Some words describe , others do the same - - but carry implications of emotions or sense with them .","Some words describe , others do the same but carry
 implications of emotions or sense with them .",,,
Fix_a_Bad_Hair_Look_on_a_Barbie_Bratz_Doll.txt,meijer antibacterial moist towelettes in regular scent,antibacterial moist towelettes in regular scent,,,
Exercise_an_Open_Mind.txt,Reading is a great way to learn about diverse and emerging viewpoints and schools of thought .,Reading is a great way to learn about diverse and emerging viewpoints .,,,
Use_Turkey_Left_Overs.tx,Pour gravy on the top of your fillings and put it all together .,Pour gravy on the top of your fillings and put the bread slices together .,,,
Manually_Build_GNU_Compiler_Collection_from_Scratch_on_Linux_Mint_Static_Edition.txt,Type / Copy / Paste : tar zxvf libelf-0.8.13.tar.gz,Type / Copy / Paste : tar jxvf gmp-5.1.1.tar.bz2,,,
Poach_Pears.txt,Check the pears are soft by sticking a knife into them .,Check the pears are soft by sticking a knife into them gently .,,,
Create_an_Event_Flyer_Using_Photoshop.txt,You 're done !,You 're almost done !,,,
Make_a_Log_Cabin_for_Kids.txt,"Put some triangle shapes up on top
 of the walls to hold the tarp up or 
wooden beams and planks over the beams .","Put some triangle shapes on top of the walls 
to hold the tarp up or wooden
beams and planks over the beams .",,,
Motivate_Young_Boys_to_Learn.txt,Boy stories ! Having friends over might depend on successfully completing two blocks of homework .,"Having friends over might depend on successfully completing two blocks 
of homework .",,,
Deal_with_Someone_Hogging_the_Sheets.txt,"Try to keep calm and gentle when 
telling your partner about the stolen blankets .",Try to keep calm and gentle when telling your partner about the stolen sheets .,,,
Position_Your_Drums_for_Ultimate_Comfort.txt,"Next , extend the legs on your bass drum spurs so that the front hoop is 
about an inch off the ground , placing the drum with the spurs 4 - 6 inches from the outer edge of the carpet or drum riser .","Next , extend the legs on your bass drum spurs so that the front hoop 
is about an inch off the ground, 
placing the drum with the spurs from the 
outer edge of the carpet or drum riser .",,,
Make_an_Herbal_Tea_Scalp_Toner.txt,This tea will appear green so now say goodbye to those expensive green teas .,"This tea will appear green , so now say "" Goodbye ! "" to those expensive 
green teas .",,,
Buy_a_Firearm_in_Michigan.txt,"You must be at least 18 years old to buy 
a pistol from a private seller .","You must be 21 years old or older to buy a pistol from a federal ; 
lfirearms licensed dealers .",,,
Carve_on_a_Skateboard.txt,"Get going at a pretty fast feed , like down a hill .",Get going at a pretty fast speed downhill .,,,
Create_a_Gaming_Computer.txt,"When working with any computer related hardware , always keep yourself grounded ! An Electro-Magnetic Discharge may permanently damage your components .","When working with any computer related hardware , always 
keep yourself grounded ! An Electro-Static Discharge 
may permanently damage your components .",,,
Play_Runescape_Nearly_Anywhere_Using_RuneScapeSchoolNetwork.tk.txt,How to Play RuneScape on a Slow Computer,How to Play RuneScape at School,,,
Hypnotize_Anyone_to_Do_Fun_Stuff_With_Them.txt,"As you stare at this dot , you will notice that your eyes are getting heavy , heavy , heavy .","As you stare at this spiral , you will notice that your eyes are getting heavy ,
 heavy , heavy .",,,
Connect_Your_Nintendo_Wii_WiFi_to_Dial_Up.txt,"Click Start , then Control Panel , then click Network Connections","Click Start , then Settings , Control Panel , then click the Add / Remove 
Programs icon .",,,
Deal_with_a_Sad_Time.txt,"This can take time and practice , but over time will help you process through and successfully cope with sad times .","This takes time and practice , but over time this can help you process and 
successfully cope with sad times .",,,
Earn_Top_Dollars_Taking_Paid_Surveys.txt,"When you register for more than one survey site , 
you are guranteed to make around $ 100 per day 
doing 15 - 20 mintures surveys on each of these survey sites .","When you register for more than one survey site , you are guaranteed to 
make around $ 100 per day doing 15 - 20 minute surveys on 
each of these survey sites .",,,
Get_a_Service_Dog_for_an_Autistic_Child.txt,Realize that a service dog can help an autistic child to express affection .,Realize that a service dog can help an autistic child understand affection .,,,
"Manage_High_School_Classes,_Homework,_Sports_and_Keeping_Up_with_Household_Chores.txt",take a nap for three hours,Then take a nap for three hours .,,,
Upgrade_a_Processor.txt,"Make sure you know where these components 
go and how they are connected to your 
motherboard before you attempt 
upgrading your processor .","Make sure you know where these components go and how they are 
connected to your motherboard before you attempt to 
upgrade your processor .",,,
Sell_Crafts_on_Etsy.txt	,"Like any business , there are pro 's 
and con 's with any of these options , 
so decide what will work best for you .","Like any business , there are pros and cons with any of these options , so 
decide what will work best for you .",,,
Make_a_Horse_Move_Forward.txt,"First of all , make sure that your horse not moving forward is not simply an error on your part .","Firstly , make sure that your horse not moving forward 
is not simply an error on your part .",,,
Draw_Aladdin.txt,"Add one oval , which will be a basis for a future head .","Add an oval , which will be a basis for the head .",,,
Address_a_Letter_to_a_Government_Official.txt,Salutation : Dear Sir [ Madam ] :,Salutation : Dear Mr. [ Madam ] Attorney General :,,,
Make_Melba_Toast.txt,"You may also want to serve the toasts 
with a dip or as a side for soup 
or a salad .","You may also want to serve the 
toasts with a flavorful dip .",,,
