,Source,Target
70,Note that fruits and vegetables contain water .,Remember that fruits and vegetables contain water .
71,Behaving with the right attitude will help you find your beauty .,Behaving with the right attitude will help you find your inner beauty .
72,Tell him that it 's not exactly what you are looking for that you just do n't know if you should take it home or not .,Tell him that it 's not exactly what you are looking for and that you do n't know if you should take it home or not .
73,"Depending on the court 's digitization efforts , many criminal records are available for viewing online .","Depending on the court 's digitization efforts , many criminal court records are available for viewing online ."
74,Determine if you want a complete criminal record or if you are looking for records of specific infractions or convictions .,Determine if you want a complete criminal court record or if you are looking for records of specific infractions or convictions .
75,Get a mated pair .,Develop a mated pair .
76,Developing into a male or female fish only occurs as they get older .,Developing into a male or female fish only occurs as the firsh get older .
77,Recognize the changes in clownfish behavior that will signal spawning .,Recognize the changes in clownfish behavior that signal spawning .
78,Go to middle school baseball if your school has it .,Play middle school baseball if your school has it .
79,Travel on a Budget,Travel on a Limited Budget
80,Look at these positions to get an idea of what is and is not a good height :,Look at these positions to get an idea of what is and what is not a good height :
81,Adjust the seat .,Adjust the seat height .
82,Change system time to anytime within your time restrictions .,Change system time to anytime outside your time restrictions .
83,Go and pick up all the non-perishable food you like .,Go and pick up all the non-perishable food you will need .
84,Fill it with water so you can flush the toilet and wash .,Fill the tub with water so you can flush the toilet and wash .
85,Try to remember : 2 inches per gerbil .,Try to remember : 5 gallons per gerbil .
86,"Introduce the gerbils using a split cage , and should be located in a quiet and calm area of the house where there is not a lot of traffic nor sudden loud noises .","Introduce the gerbils using a split cage , which should be located in a quiet and calm area of the house where there is not a lot of traffic nor sudden loud noises ."
87,"Keep the breeding tank very simple without the presence of wheels , toys or toys and should be one level only .","Keep the breeding tank very simple without the presence of wheels , or toys and should be one level only ."
88,Put each 1 gerbil on each side of the cage .,Put 1 gerbil on each side of the cage .
89,Watch them closely for 30 minutes to see if they behave well .,Watch them closely for 30 minutes to see how they behave .
90,Get at least 8 hours of sleep a night .,Get at least 8 hours of sleep .
91,"Think of people you can talk to when you 're having a bad day & mdash ; parents , friends , siblings , and other people in your life .","Think of people you can talk to when you 're having a bad day — parents , friends , siblings , and other people in your life ."
92,Spend quality time with your dog .,Spend some time with your dog .
93,Check on it several times a day .,Check on it a few times a day .
94,Learn five new tricks upon entering ( Check the internet for cool bonus moves ) .,Learn five new tricks upon entering ( check the internet for special bonus moves ) .
95,Make your dog RUN only a short distance and let it walk and enjoy it .,Make your dog run only a short distance and let it walk and enjoy .
