,Source,Target
56,dont tryto go after the girl he is currently dating .,Do n't try to go after the girl he is currently dating .
57,ask for name favorite things .,Ask about his favorite things .
58,"Make friends first , if you can .","Make friends with them first , if you can ."
59,Use the brown sidetied .,Use the brown side tied .
60,"Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL NOT get you banned , and Zuko would never say that .","Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL NOT get you banned , and Zuko would say that ."
61,"Do n't get too stressed out , or you wo n't succeed .","Do n't get too stressed out , or else you wo n't succeed ."
62,"Do this until the wood is smooth , flat , and even , and there is no left over finish .","Do this until the wood is smooth , flat , and even , and there is no left over finish / paint ."
63,Measure the length of the outer edges with a tape measure and write down the measurements .,Measure the length and height of the outer edges with a tape measure and write down the measurements .
64,Add ¼ inch to the height the edge of the table on each side .,Add ¼ inch to the height of the edge of the table on each side .
65,"Add leaves , sticks , and rocks to make your slug feel at home .","Add leaves , sticks and rocks to make your slug feel at home ."
66,"Feed your slug green lettuce , kale , cucumber slices , and other veggies .","Feed your slug green lettuce , kale , cucumber slices and other veggies ."
67,"Feed your slug green lettuce , dogfood , kale , cucumber slices and other veggies .","Feed your slug green lettuce , dog food , kale , cucumber slices and other veggies ."
68,"Feed your slug green lettuce , dog food , kale , cucumber slices and other veggies .","Feed your slug green lettuce , dog food , kale , cucumber slices and fruit ."
69,Replace the soil monthly and remove old food pieces weekly .,Replace the soil weekly and remove old food pieces weekly .
70,Feed your vegetables and fruits .,Feed your slug vegetables and fruits .
71,Make sure to sift through soil before adding it to your aquarium to remove any other bugs .,Make sure to sift through soil before adding it to your aquarium to remove any bugs .
72,"Do n't wear trousers , they 're silly , for scene kids .",Do n't wear trousers ; they 're silly for scene kids .
73,"Do n't forget black eyeliner , and indie style hair bows .","Do n't forget black eyeliner , and indie style hair bows / bands ."
74,Make sure you really want to end this friendship .,Make sure you want to end this friendship .
75,Are you wondering how to be as beautiful as you can be ?,Are you wondering how to be as pretty as you can be ?
76,Behaving with the right attitude will help you find your beauty .,Behaving with the right attitude will help you find your inner beauty .
77,Be the best you you can be .,Be the best person that you can be .
78,Pay the seller cash and pat yourself on the back because you have just bought your very first dirtbike !,Pay the seller cash and pat yourself on the back because you have just bought your very first dirt bike !
79,"Depending on the court 's digitization efforts , many criminal records are available for viewing online .","Depending on the court 's digitization efforts , many criminal court records are available for viewing online ."
80,Determine if you want a complete criminal record or if you are looking for records of specific infractions or convictions .,Determine if you want a complete criminal court record or if you are looking for records of specific infractions or convictions .
81,Submit a records request for someone else 's records .,Submit a records request for your own record .
82,Watch as your fry turn into fish .,Watch as your fry turn into juvenille fish .
83,Go to middle school baseball if your school has it .,Play middle school baseball if your school has it .
84,Prepare your document using easily editable software like word document software .,Prepare your document using easily editable softwarse like Microsoft Word .
85,Travel on a Budget,Travel on a Limited Budget
86,Have your hair in a pony tail .,Have your hair in a ponytail .
87,Do you think your a strong girl and loves to know about mountain and climb then ?,Do you think your a strong girl and love to know about mountains and climb them ?
88,Look at these positions to get an idea of what is and is not a good height :,Look at these positions to get an idea of what is and what is not a good height :
89,Stand somewhere where you can hold or prop yourself up against a wall .,Stand where you can hold or prop yourself up against a wall .
90,Adjust the seat .,Adjust the seat height .
91,Make sure the seat is far enough forward for you .,Make sure the seat is far enough forward for a comfortable ride .
92,"Having your bike seat adjusted to the right height is essential for a comfortable ride , efficient pedaling and avoiding injury .","Having your bike seat adjusted to the right height is essential for a comfortable ride , efficient pedaling , and avoiding injury ."
93,Use a carpenter 's level to make sure the seat is flat - - this evenly distributes your weight for more comfortable riding .,Use a carpenter 's level to make sure the seat is flat — this evenly distributes your weight for more comfortable riding .
94,Going out of your way to look super-humanely nice will make you seem like a creep with ulterior motives .,Going out of your way to look super-humanly nice will make you seem like a creep with ulterior motives .
95,Be more patient .,Be more patient with others .
96,Buy extra pack of batteries .,Buy LOTS of batteries .
97,Buy up plenty of water bottles now .,Buy up plenty of water bottles .
98,"Try cereal , peanut butter , pudding cups , apple sauce , granola bars , crackers , dried fruit , trail mix , rice , beans , pretzels , fruit snacks , and canned food .","Try cereal , peanut butter , pudding cups , applesauce , granola bars , crackers , dried fruit , trail mix , rice , beans , pretzels , fruit snacks , and canned food ."
99,Leave them in as long as you female is OK .,Leave them in as long as your female is OK .
100,"Keep the breeding tank very simple without the presence of wheels , toys or toys and should be one level only .","Keep the breeding tank very simple without the presence of wheels , or toys and should be one level only ."
101,"Think of people you can talk to when you 're having a bad day & mdash ; parents , friends , siblings , and other people in your life .","Think of people you can talk to when you 're having a bad day — parents , friends , siblings , and other people in your life ."
102,Check on it several times a day .,Check on it a few times a day .
