Wear always protective equipment including helmets , kneepads and others .	['VB', 'RB', 'JJ', 'NN', 'VBG', 'NNS', ',', 'NNS', 'CC', 'NNS', '.']	[('root', 0), ('advmod', 3), ('amod', 4), ('obj', 1), ('case', 6), ('nmod', 4), ('punct', 8), ('conj', 6), ('cc', 10), ('conj', 6), ('punct', 1)]
This way you can hear the news .	['DT', 'NN', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']	[('det', 2), ('obl:npmod', 5), ('nsubj', 5), ('aux', 5), ('root', 0), ('det', 7), ('obj', 5), ('punct', 5)]

Put it in the safe room .	['VB', 'PRP', 'IN', 'DT', 'JJ', 'NN', '.']	[('root', 0), ('obj', 1), ('case', 6), ('det', 6), ('amod', 6), ('obl', 1), ('punct', 1)]
This should go in the safe room .	['DT', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', '.']	[('nsubj', 3), ('aux', 3), ('root', 0), ('case', 7), ('det', 7), ('amod', 7), ('obl', 3), ('punct', 3)]

Promotes relaxation and can improve your mood .	['VBZ', 'NN', 'CC', 'MD', 'VB', 'PRP$', 'NN', '.']	[('root', 0), ('obj', 1), ('cc', 5), ('aux', 5), ('conj', 1), ('nmod:poss', 7), ('obj', 5), ('punct', 1)]
Meditation promotes relaxation and can improve your mood .	['NN', 'VBZ', 'NN', 'CC', 'MD', 'VB', 'PRP$', 'NN', '.']	[('nsubj', 2), ('root', 0), ('obj', 2), ('cc', 6), ('aux', 6), ('conj', 2), ('nmod:poss', 8), ('obj', 6), ('punct', 2)]

Do n't go to any shopping malls or shops at all when you are roaming around .	['VB', 'RB', 'VB', 'IN', 'DT', 'NN', 'NNS', 'CC', 'NNS', 'RB', 'DT', 'WRB', 'PRP', 'VBP', 'VBG', 'RB', '.']	[('aux', 3), ('advmod', 3), ('root', 0), ('case', 7), ('det', 7), ('compound', 7), ('obl', 3), ('cc', 9), ('conj', 7), ('case', 11), ('nmod', 7), ('mark', 15), ('nsubj', 15), ('aux', 15), ('advcl', 3), ('advmod', 15), ('punct', 3)]
When you are roaming around , do n't go to any shopping malls or shops at all .	['WRB', 'PRP', 'VBP', 'VBG', 'RB', ',', 'VB', 'RB', 'VB', 'IN', 'DT', 'NN', 'NNS', 'CC', 'NNS', 'RB', 'DT', '.']	[('mark', 4), ('nsubj', 4), ('aux', 4), ('advcl', 9), ('advmod', 4), ('punct', 9), ('aux', 9), ('advmod', 9), ('root', 0), ('case', 13), ('det', 13), ('compound', 13), ('obl', 9), ('cc', 15), ('conj', 13), ('case', 17), ('nmod', 13), ('punct', 9)]

makes hair soft and bouncy .	['VBZ', 'NN', 'JJ', 'CC', 'JJ', '.']	[('root', 0), ('obj', 1), ('xcomp', 1), ('cc', 5), ('conj', 3), ('punct', 1)]
It makes hair soft and bouncy .	['PRP', 'VBZ', 'NN', 'JJ', 'CC', 'JJ', '.']	[('nsubj', 2), ('root', 0), ('obj', 2), ('xcomp', 2), ('cc', 6), ('conj', 4), ('punct', 2)]

Connecting with someone who lives in the Philippines can easily be done by giving them a phone call .	['VBG', 'IN', 'NN', 'WP', 'VBZ', 'IN', 'DT', 'NNPS', 'MD', 'RB', 'VB', 'VBN', 'IN', 'VBG', 'PRP', 'DT', 'NN', 'NN', '.']	[('advcl', 12), ('case', 3), ('obl', 1), ('nsubj', 5), ('acl:relcl', 3), ('case', 8), ('det', 8), ('obl', 5), ('aux', 12), ('advmod', 12), ('aux:pass', 12), ('root', 0), ('mark', 14), ('advcl', 12), ('iobj', 14), ('det', 18), ('compound', 18), ('obj', 14), ('punct', 12)]
You can easily talk with someone who lives in the Philippines with a simple phone call .	['PRP', 'MD', 'RB', 'VB', 'IN', 'NN', 'WP', 'VBZ', 'IN', 'DT', 'NNPS', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']	[('nsubj', 4), ('aux', 4), ('advmod', 4), ('root', 0), ('case', 6), ('obl', 4), ('nsubj', 8), ('acl:relcl', 6), ('case', 11), ('det', 11), ('obl', 8), ('case', 16), ('det', 16), ('amod', 16), ('compound', 16), ('obl', 8), ('punct', 4)]

is the international code for the United States and Canada , as well as some parts of the Caribbean .	['VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'CC', 'NNP', ',', 'RB', 'RB', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NNP', '.']	[('cop', 4), ('det', 4), ('amod', 4), ('root', 0), ('case', 8), ('det', 8), ('compound', 8), ('nmod', 4), ('cc', 10), ('conj', 8), ('punct', 16), ('cc', 16), ('fixed', 12), ('fixed', 12), ('det', 16), ('conj', 4), ('case', 19), ('det', 19), ('nmod', 16), ('punct', 16)]
The United States and Canada , as well as some parts of the Caribbean , use the international code 011 .	['DT', 'NNP', 'NNP', 'CC', 'NNP', ',', 'RB', 'RB', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NNP', ',', 'VBP', 'DT', 'JJ', 'NN', 'CD', '.']	[('det', 3), ('compound', 3), ('nsubj', 16), ('cc', 5), ('conj', 3), ('punct', 11), ('cc', 11), ('fixed', 7), ('fixed', 7), ('det', 11), ('conj', 3), ('case', 14), ('det', 14), ('nmod', 11), ('punct', 16), ('root', 0), ('det', 19), ('amod', 19), ('obj', 16), ('nummod', 19), ('punct', 16)]

is the exit code for Australia .	['VBZ', 'DT', 'NN', 'NN', 'IN', 'NNP', '.']	[('cop', 4), ('det', 4), ('compound', 4), ('root', 0), ('case', 6), ('nmod', 4), ('punct', 4)]
Australia uses the exit code 0011 .	['NNP', 'VBZ', 'DT', 'NN', 'NN', 'CD', '.']	[('nsubj', 2), ('root', 0), ('det', 5), ('obj', 2), ('obj', 2), ('nummod', 5), ('punct', 2)]

Exhaust all other possible options before pursuing one of the loans described in the final method of this article .	['VB', 'DT', 'JJ', 'JJ', 'NNS', 'IN', 'VBG', 'CD', 'IN', 'DT', 'NNS', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', '.']	[('root', 0), ('det', 5), ('amod', 5), ('amod', 5), ('obj', 1), ('mark', 7), ('advcl', 1), ('obj', 7), ('case', 11), ('det', 11), ('nmod', 8), ('acl', 11), ('case', 16), ('det', 16), ('amod', 16), ('obl', 12), ('case', 19), ('det', 19), ('nmod', 16), ('punct', 1)]
Some of the sites that provided this peer to peer loan service include Prosper , Lending Club , and Peerform .	['DT', 'IN', 'DT', 'NNS', 'WDT', 'VBD', 'DT', 'NN', 'IN', 'NN', 'NN', 'NN', 'VBP', 'NNP', ',', 'NNP', 'NNP', ',', 'CC', 'NNP', '.']	[('nsubj', 13), ('case', 4), ('det', 4), ('nmod', 1), ('nsubj', 6), ('acl:relcl', 4), ('det', 8), ('obj', 6), ('case', 12), ('compound', 11), ('compound', 12), ('obl', 6), ('root', 0), ('obj', 13), ('punct', 17), ('compound', 17), ('conj', 14), ('punct', 20), ('cc', 20), ('conj', 14), ('punct', 13)]

Return the application to the social services office it was picked up from or mail it to the office .	['VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'NN', 'PRP', 'VBD', 'VBN', 'RP', 'IN', 'CC', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']	[('root', 0), ('det', 3), ('obj', 1), ('case', 8), ('det', 8), ('amod', 7), ('compound', 8), ('obl', 1), ('nsubj:pass', 11), ('aux:pass', 11), ('parataxis', 1), ('compound:prt', 11), ('obl', 15), ('cc', 15), ('conj', 11), ('obj', 15), ('case', 19), ('det', 19), ('obl', 15), ('punct', 1)]
If you apply with a paper application , take it or mail it to the social services office .	['IN', 'PRP', 'VBP', 'IN', 'DT', 'NN', 'NN', ',', 'VB', 'PRP', 'CC', 'VB', 'PRP', 'IN', 'DT', 'JJ', 'NNS', 'NN', '.']	[('mark', 3), ('nsubj', 3), ('advcl', 9), ('case', 7), ('det', 7), ('compound', 7), ('obl', 3), ('punct', 9), ('root', 0), ('obj', 9), ('cc', 12), ('conj', 9), ('obj', 12), ('case', 18), ('det', 18), ('amod', 17), ('compound', 18), ('obl', 12), ('punct', 9)]

Let an eligibility worker will decide whether or not you qualify .	['VB', 'DT', 'NN', 'NN', 'MD', 'VB', 'IN', 'CC', 'RB', 'PRP', 'VBP', '.']	[('root', 0), ('det', 4), ('compound', 4), ('obj', 1), ('aux', 6), ('xcomp', 1), ('mark', 11), ('fixed', 7), ('fixed', 7), ('nsubj', 11), ('ccomp', 6), ('punct', 1)]
An eligibility worker will decide whether or not you qualify .	['DT', 'NN', 'NN', 'MD', 'VB', 'IN', 'CC', 'RB', 'PRP', 'VBP', '.']	[('det', 3), ('compound', 3), ('nsubj', 5), ('aux', 5), ('root', 0), ('mark', 10), ('fixed', 6), ('fixed', 6), ('nsubj', 10), ('ccomp', 5), ('punct', 5)]

BE positive and be confident , dont be over confident this will make you fail in your interviews .	['VB', 'JJ', 'CC', 'VB', 'JJ', ',', 'VB', 'RB', 'VB', 'RB', 'JJ', 'DT', 'MD', 'VB', 'PRP', 'VB', 'IN', 'PRP$', 'NNS', '.']	[('cop', 2), ('root', 0), ('cc', 5), ('cop', 5), ('conj', 2), ('punct', 2), ('aux', 11), ('advmod', 11), ('cop', 11), ('advmod', 11), ('parataxis', 2), ('nsubj', 14), ('aux', 14), ('ccomp', 11), ('obj', 14), ('xcomp', 14), ('case', 19), ('nmod:poss', 19), ('obl', 16), ('punct', 2)]
Always be positive and confident , do n't be over confident this will make you fail in your interviews .	['RB', 'VB', 'JJ', 'CC', 'JJ', ',', 'VB', 'RB', 'VB', 'RB', 'JJ', 'DT', 'MD', 'VB', 'PRP', 'VB', 'IN', 'PRP$', 'NNS', '.']	[('advmod', 3), ('cop', 3), ('root', 0), ('cc', 5), ('conj', 3), ('punct', 3), ('aux', 11), ('advmod', 11), ('cop', 11), ('advmod', 11), ('parataxis', 3), ('nsubj', 14), ('aux', 14), ('ccomp', 11), ('obj', 14), ('xcomp', 14), ('case', 19), ('nmod:poss', 19), ('obl', 16), ('punct', 3)]

Read the article if you want to be a snow princess !	['VB', 'DT', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'DT', 'NN', 'NN', '.']	[('root', 0), ('det', 3), ('obj', 1), ('mark', 6), ('nsubj', 6), ('advcl', 1), ('mark', 11), ('cop', 11), ('det', 11), ('compound', 11), ('xcomp', 6), ('punct', 1)]
If you want to be snow princess , you have to love snow .	['IN', 'PRP', 'VBP', 'TO', 'VB', 'NN', 'NN', ',', 'PRP', 'VBP', 'TO', 'VB', 'NN', '.']	[('mark', 3), ('nsubj', 3), ('advcl', 10), ('mark', 7), ('cop', 7), ('compound', 7), ('xcomp', 3), ('punct', 10), ('nsubj', 10), ('root', 0), ('mark', 12), ('xcomp', 10), ('obj', 12), ('punct', 10)]

Accredited and legally able to grant a degree .	['VBN', 'CC', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']	[('root', 0), ('cc', 4), ('advmod', 4), ('conj', 1), ('mark', 6), ('xcomp', 4), ('det', 8), ('obj', 6), ('punct', 1)]
It is accredited and legally able to grant a degree .	['PRP', 'VBZ', 'VBN', 'CC', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']	[('nsubj:pass', 3), ('aux:pass', 3), ('root', 0), ('cc', 6), ('advmod', 6), ('conj', 3), ('mark', 8), ('xcomp', 6), ('det', 10), ('obj', 8), ('punct', 3)]

Have programs in clinical psychology , forensic psychology , industrial-organizational psychology , or sports psychology .	['VB', 'NNS', 'IN', 'JJ', 'NN', ',', 'JJ', 'NN', ',', 'JJ', 'HYPH', 'JJ', 'NN', ',', 'CC', 'NNS', 'NN', '.']	[('root', 0), ('obj', 1), ('case', 5), ('amod', 5), ('nmod', 2), ('punct', 8), ('amod', 8), ('conj', 5), ('punct', 13), ('amod', 12), ('punct', 12), ('amod', 13), ('conj', 5), ('punct', 17), ('cc', 17), ('compound', 17), ('conj', 5), ('punct', 1)]
It offers programs in clinical psychology , forensic psychology , industrial-organizational psychology , or sports psychology .	['PRP', 'VBZ', 'NNS', 'IN', 'JJ', 'NN', ',', 'JJ', 'NN', ',', 'JJ', 'HYPH', 'JJ', 'NN', ',', 'CC', 'NNS', 'NN', '.']	[('nsubj', 2), ('root', 0), ('obj', 2), ('case', 6), ('amod', 6), ('nmod', 3), ('punct', 9), ('amod', 9), ('conj', 6), ('punct', 14), ('amod', 13), ('punct', 13), ('amod', 14), ('conj', 6), ('punct', 18), ('cc', 18), ('compound', 18), ('conj', 6), ('punct', 2)]

Avoid picking at the butterfly bandage or you could accidentally open the wound .	['VB', 'VBG', 'IN', 'DT', 'NN', 'NN', 'CC', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', '.']	[('root', 0), ('xcomp', 1), ('case', 6), ('det', 6), ('compound', 6), ('obl', 2), ('cc', 11), ('nsubj', 11), ('aux', 11), ('advmod', 11), ('conj', 1), ('det', 13), ('obj', 11), ('punct', 1)]
Also , avoid picking at the butterfly bandage or you could accidentally open the wound .	['RB', ',', 'VB', 'VBG', 'IN', 'DT', 'NN', 'NN', 'CC', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', '.']	[('advmod', 3), ('punct', 3), ('root', 0), ('xcomp', 3), ('case', 8), ('det', 8), ('compound', 8), ('obl', 4), ('cc', 13), ('nsubj', 13), ('aux', 13), ('advmod', 13), ('conj', 3), ('det', 15), ('obj', 13), ('punct', 3)]

Make a dedicated bookmark file if you wish for your ideas so you can access it with a browser .	['VB', 'DT', 'JJ', 'NN', 'NN', 'IN', 'PRP', 'VBP', 'IN', 'PRP$', 'NNS', 'IN', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']	[('root', 0), ('det', 5), ('amod', 5), ('compound', 5), ('obj', 1), ('mark', 8), ('nsubj', 8), ('advcl', 1), ('case', 11), ('nmod:poss', 11), ('obl', 8), ('mark', 15), ('nsubj', 15), ('aux', 15), ('advcl', 8), ('obj', 15), ('case', 19), ('det', 19), ('obl', 15), ('punct', 1)]
You can alsomake a dedicated bookmark file if you wish for your ideas so you can access it with a browser .	['PRP', 'MD', 'VB', 'DT', 'VBN', 'NN', 'NN', 'IN', 'PRP', 'VBP', 'IN', 'PRP$', 'NNS', 'IN', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']	[('nsubj', 3), ('aux', 3), ('root', 0), ('det', 7), ('amod', 7), ('compound', 7), ('obj', 3), ('mark', 10), ('nsubj', 10), ('advcl', 3), ('case', 13), ('nmod:poss', 13), ('obl', 10), ('mark', 17), ('nsubj', 17), ('aux', 17), ('advcl', 10), ('obj', 17), ('case', 21), ('det', 21), ('obl', 17), ('punct', 3)]

Develop an infatuation with Hello Kitty , TMNT , Pokemon , dinosaurs , robots , superheroes ( Batman , Superman , etc ) , and other things that are commonly branded as childish .	['VB', 'DT', 'NN', 'IN', 'UH', 'NNP', ',', 'NNP', ',', 'NN', ',', 'NNS', ',', 'NNS', ',', 'NNS', '-LRB-', 'NNP', ',', 'NNP', ',', 'FW', '-RRB-', ',', 'CC', 'JJ', 'NNS', 'WDT', 'VBP', 'RB', 'VBN', 'RB', 'JJ', '.']	[('root', 0), ('det', 3), ('obj', 1), ('case', 5), ('obl', 1), ('flat', 5), ('punct', 8), ('conj', 6), ('punct', 10), ('conj', 6), ('punct', 12), ('conj', 6), ('punct', 14), ('conj', 6), ('punct', 16), ('conj', 6), ('punct', 18), ('conj', 6), ('punct', 20), ('conj', 18), ('punct', 22), ('conj', 6), ('punct', 18), ('punct', 27), ('cc', 27), ('amod', 27), ('conj', 6), ('nsubj:pass', 31), ('aux:pass', 31), ('advmod', 31), ('acl:relcl', 27), ('advmod', 33), ('xcomp', 31), ('punct', 1)]
Girls can also wear jean skirts or black stretch skirts as long as a decent pair of leggings are worn beneath ( you ca n't go wrong with solid black leggings ) .	['NNS', 'MD', 'RB', 'VB', 'NNP', 'NNS', 'CC', 'JJ', 'NN', 'NNS', 'RB', 'RB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNS', 'VBP', 'VBN', 'RB', '-LRB-', 'PRP', 'MD', 'RB', 'VB', 'JJ', 'IN', 'JJ', 'JJ', 'NNS', '-RRB-', '.']	[('nsubj', 4), ('aux', 4), ('advmod', 4), ('root', 0), ('compound', 6), ('obj', 4), ('cc', 10), ('amod', 10), ('compound', 10), ('conj', 6), ('advmod', 12), ('advmod', 4), ('mark', 20), ('det', 16), ('amod', 16), ('nsubj:pass', 20), ('case', 18), ('nmod', 16), ('aux:pass', 20), ('advcl', 12), ('advmod', 20), ('punct', 26), ('nsubj', 26), ('aux', 26), ('advmod', 26), ('parataxis', 4), ('xcomp', 26), ('case', 31), ('amod', 31), ('amod', 31), ('obl', 27), ('punct', 26), ('punct', 4)]

Wear tight band t-shirts	['VB', 'JJ', 'NN', 'NNS']	[('root', 0), ('amod', 4), ('compound', 4), ('obj', 1)]
Tight band t-shirts	['JJ', 'NN', 'NNS']	[('amod', 3), ('compound', 3), ('root', 0)]

Keeps you in shape AND opens your mind to some cool techno-rock music that you can say you found on an underground website .	['VBZ', 'PRP', 'IN', 'NN', 'CC', 'VBZ', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN', 'HYPH', 'NN', 'NN', 'WDT', 'PRP', 'MD', 'VB', 'PRP', 'VBD', 'IN', 'DT', 'JJ', 'NN', '.']	[('root', 0), ('obj', 1), ('case', 4), ('obl', 1), ('cc', 6), ('conj', 1), ('nmod:poss', 8), ('obj', 6), ('case', 15), ('det', 15), ('amod', 15), ('compound', 14), ('punct', 14), ('compound', 15), ('obl', 6), ('obj', 19), ('nsubj', 19), ('aux', 19), ('acl:relcl', 15), ('nsubj', 21), ('ccomp', 19), ('case', 25), ('det', 25), ('amod', 25), ('obl', 21), ('punct', 1)]
